All the words in textList with their repetition counter: 
Word: dummy, count: 0
Word: above, count: 0
Word: add, count: 0
Word: advanced, count: 0
Word: ago, count: 0
Word: all, count: 0
Word: altogether, count: 0
Word: any, count: 0
Word: battlefield, count: 0
Word: before, count: 0
Word: birth, count: 0
Word: brave, count: 0
Word: brought, count: 0
Word: but, count: 1
Word: by, count: 0
Word: can, count: 1
Word: cannot, count: 2
Word: cause, count: 0
Word: civil, count: 0
Word: come, count: 0
Word: conceived, count: 1
Word: consecrate, count: 0
Word: consecrated, count: 0
Word: continent, count: 0
Word: created, count: 0
Word: dead, count: 2
Word: dedicate, count: 1
Word: dedicated, count: 3
Word: detract, count: 0
Word: devotion, count: 1
Word: did, count: 0
Word: died, count: 0
Word: do, count: 0
Word: earth, count: 0
Word: endure, count: 0
Word: engaged, count: 0
Word: equal, count: 0
Word: far, count: 1
Word: fathers, count: 0
Word: field, count: 0
Word: final, count: 0
Word: fitting, count: 0
Word: forget, count: 0
Word: forth, count: 0
Word: fought, count: 0
Word: four, count: 0
Word: freedom, count: 0
Word: from, count: 1
Word: full, count: 0
Word: gave, count: 1
Word: god, count: 0
Word: government, count: 0
Word: great, count: 2
Word: ground, count: 0
Word: hallow, count: 0
Word: have, count: 4
Word: highly, count: 0
Word: honored, count: 0
Word: increased, count: 0
Word: larger, count: 0
Word: last, count: 0
Word: liberty, count: 0
Word: little, count: 0
Word: live, count: 0
Word: lives, count: 0
Word: living, count: 1
Word: long, count: 1
Word: measure, count: 0
Word: men, count: 1
Word: met, count: 0
Word: might, count: 0
Word: nation, count: 4
Word: never, count: 0
Word: new, count: 1
Word: nobly, count: 0
Word: nor, count: 0
Word: note, count: 0
Word: now, count: 0
Word: our, count: 1
Word: people, count: 2
Word: perish, count: 0
Word: place, count: 0
Word: poor, count: 0
Word: portion, count: 0
Word: power, count: 0
Word: proper, count: 0
Word: proposition, count: 0
Word: rather, count: 1
Word: remaining, count: 0
Word: remember, count: 0
Word: resolve, count: 0
Word: resting, count: 0
Word: say, count: 0
Word: score, count: 0
Word: sense, count: 0
Word: seven, count: 0
Word: shall, count: 2
Word: should, count: 0
Word: so, count: 3
Word: struggled, count: 0
Word: take, count: 0
Word: task, count: 0
Word: testing, count: 0
Word: their, count: 0
Word: these, count: 1
Word: those, count: 0
Word: thus, count: 0
Word: to, count: 7
Word: under, count: 0
Word: unfinished, count: 0
Word: us, count: 2
Word: vain, count: 0
Word: war, count: 1
Word: we, count: 9
Word: whether, count: 0
Word: which, count: 1
Word: will, count: 0
Word: work, count: 0
Word: world, count: 0
Word: years, count: 0
